run_id,scenario_id,experiment,category,model,mission_text,is_nominal_gt,decision_correct,is_tp,is_tn,is_fp,is_fn,constraint_valid,tail_match,mission_success,allows_partial_credit,partial_credit_score,model_said_nominal,reason,attempts,needed_retry,latency_s,approx_prompt_tokens,approx_output_tokens,errors
10,E1-EX1,1,EX,gemini-2.5-flash-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Perception lost track of object 1 during the previous approach, requiring a new approach before mapping to ensure mission success.",1,False,9.082,742,75,[]
10,E1-EX1,1,EX,gemini-2.5-flash-base,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Perception lost track of object 1, so the drone needs to search again to reacquire the target before reattempting approach and mapping.",1,False,1.478,742,85,[]
10,E1-EX1,1,EX,qwen-235b-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,Object 1 was lost during approach so a search is inserted to reacquire it before reattempting approach and map.,2,True,251.821,742,112,"[""attempt 1: 'NoneType' object has no attribute 'strip'""]"
10,E1-EX1,1,EX,qwen-235b-instruct,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Object 1 was lost during approach, requiring a new search to reacquire it before proceeding with mapping and return.",1,False,3.78,742,28,[]
10,E1-EX1,1,EX,deepseek-r1,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Perception lost track of object 1 during approach, requiring a re-search to re-detect before mapping to ensure successful orbit completion.",1,False,292.706,742,29,[]
10,E1-EX1,1,EX,o4-mini,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,False,False,False,,False,"Object 1 was lost during approach, so a reacquisition search and new approach are needed before mapping.",1,False,19.938,742,25,[]
10,E1-EX2,1,EX,gemini-2.5-flash-thinking,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"The second orbit pass for object 1 failed, so an additional approach and single orbit pass for object 1 must be added to satisfy the mission requirement of orbiting each object twice.",1,False,9.825,753,52,[]
10,E1-EX2,1,EX,gemini-2.5-flash-base,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Object 1 experienced a partial mapping failure, so its second orbit needs to be re-attempted to satisfy the mission.",2,True,2.539,753,36,"[""attempt 1: map at 0 (object_id=1) requires a preceding approach""]"
10,E1-EX2,1,EX,qwen-235b-thinking,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Object 1 has only one completed orbit due to a failed second attempt, requiring re-approach and one additional orbit before processing object 2 to satisfy the mission's twice-or",1,False,43.492,753,93,[]
10,E1-EX2,1,EX,qwen-235b-instruct,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,False,False,False,,False,Object 1's mapping was incomplete due to orbit failure; must re-attempt approach and two full orbits before proceeding to object 2.,1,False,30.721,753,39,[]
10,E1-EX2,1,EX,deepseek-r1,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,Object 1's second orbit failed and requires re-execution to satisfy the mission requirement of two complete orbits per object.,1,False,38.519,753,81,[]
10,E1-EX2,1,EX,o4-mini,"Find objects and orbit each one twice, then return home.",False,True,True,False,False,False,True,True,True,False,,False,Object 1’s second orbit was aborted and must be redone before proceeding.,1,False,9.942,753,18,[]
10,E1-EX3,1,EX,gemini-2.5-flash-thinking,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,True,True,False,,False,Critically low battery requires immediate return home to prevent drone loss.,1,False,17.978,706,24,[]
10,E1-EX3,1,EX,gemini-2.5-flash-base,"Search for objects and map every one you find with one orbit, then return home.",False,True,True,False,False,False,True,True,True,False,,False,"Battery is critically low, so mapping operations must be aborted to prioritize returning home safely.",1,False,0.767,706,24,[]
