run_id,scenario_id,level,model,mission_text,validity_rate,tail_match,mission_success,attempts,needed_retry,latency_s,approx_prompt_tokens,approx_output_tokens,altitude_explicit,standoff_explicit,plan_length,reference_length,length_match,steps_correct_count,errors
6,P-L1-01,L1,gemini-2.5-flash-thinking,Take off to 5 meters and return home.,True,True,True,1,False,2.334,446,25,True,True,2,2,True,2,[]
6,P-L1-01,L1,gemini-2.5-flash-base,Take off to 5 meters and return home.,True,True,True,1,False,0.565,446,22,True,True,2,2,True,2,[]
6,P-L1-01,L1,qwen-235b-thinking,Take off to 5 meters and return home.,True,True,True,1,False,4.127,446,22,True,True,2,2,True,2,[]
6,P-L1-01,L1,qwen-235b-instruct,Take off to 5 meters and return home.,True,True,True,1,False,1.328,446,22,True,True,2,2,True,2,[]
6,P-L1-01,L1,deepseek-r1,Take off to 5 meters and return home.,True,True,True,1,False,3.698,446,9,True,True,2,2,True,2,[]
6,P-L1-01,L1,o4-mini,Take off to 5 meters and return home.,True,True,True,1,False,3.24,446,1,True,True,2,2,True,2,[]
6,P-L1-02,L1,gemini-2.5-flash-thinking,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,1.763,452,35,False,True,3,3,True,3,[]
6,P-L1-02,L1,gemini-2.5-flash-base,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,0.715,452,35,False,True,3,3,True,3,[]
6,P-L1-02,L1,qwen-235b-thinking,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,5.902,452,35,False,True,3,3,True,3,[]
6,P-L1-02,L1,qwen-235b-instruct,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,1.145,452,35,False,True,3,3,True,3,[]
6,P-L1-02,L1,deepseek-r1,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,18.391,452,32,False,True,3,3,True,3,[]
6,P-L1-02,L1,o4-mini,"Take off, do a quick scan of the area, then come back.",True,True,True,1,False,2.638,452,35,False,True,3,3,True,3,[]
6,P-L1-03,L1,gemini-2.5-flash-thinking,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,1.932,452,35,False,True,3,3,True,3,[]
6,P-L1-03,L1,gemini-2.5-flash-base,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,0.656,452,35,False,True,3,3,True,3,[]
6,P-L1-03,L1,qwen-235b-thinking,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,6.59,452,35,False,True,3,3,True,3,[]
6,P-L1-03,L1,qwen-235b-instruct,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,2.633,452,35,False,True,3,3,True,3,[]
6,P-L1-03,L1,deepseek-r1,Perform a thorough grid search of the area and return to base.,True,True,True,2,True,47.103,452,35,False,True,3,3,True,3,"[""attempt 1: Must start with takeoff; Must end with return_home; Unknown state '' at step 0; Unknown state '' at step 1; Unknown state '' at step 2""]"
6,P-L1-03,L1,o4-mini,Perform a thorough grid search of the area and return to base.,True,True,True,1,False,3.34,452,1,False,True,3,3,True,3,[]
6,P-L2-01,L2,gemini-2.5-flash-thinking,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,4.354,460,67,False,True,5,5,True,5,[]
6,P-L2-01,L2,gemini-2.5-flash-base,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,1.085,460,67,False,True,5,5,True,5,[]
6,P-L2-01,L2,qwen-235b-thinking,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,33.962,460,70,False,True,5,5,True,5,[]
6,P-L2-01,L2,qwen-235b-instruct,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,3.477,460,67,False,True,5,5,True,5,[]
6,P-L2-01,L2,deepseek-r1,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,34.694,460,70,False,True,5,5,True,5,[]
6,P-L2-01,L2,o4-mini,"Search for objects and orbit the first one you find at a 5 meter standoff, then come home.",True,True,True,1,False,5.037,460,1,False,True,5,5,True,5,[]
6,P-L2-02,L2,gemini-2.5-flash-thinking,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,3.384,459,70,False,True,5,5,True,5,[]
6,P-L2-02,L2,gemini-2.5-flash-base,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,1.097,459,70,False,True,5,5,True,5,[]
6,P-L2-02,L2,qwen-235b-thinking,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,38.05,459,70,False,True,5,5,True,5,[]
6,P-L2-02,L2,qwen-235b-instruct,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,8.951,459,1,False,True,5,5,True,5,[]
6,P-L2-02,L2,deepseek-r1,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,75.808,459,70,False,True,5,5,True,5,[]
6,P-L2-02,L2,o4-mini,"Scan for objects. If you find any, orbit the first one twice at 6 meters, then return.",True,True,True,1,False,4.085,459,70,False,True,5,5,True,5,[]
6,P-L2-03,L2,gemini-2.5-flash-thinking,"Do a thorough search of the field. Map the first object you find with one orbit at 8 meters standoff, then return home.",True,True,True,1,False,2.178,467,70,False,True,5,5,True,5,[]
